time [UTC],DE::Aedes,DE::Chikungunya,DE::Culex,DE::Dengue,DE::Usutu,DE::West Nile,DE::Zika,AT::Aedes,AT::Chikungunya,AT::Culex,AT::Dengue,AT::Usutu,AT::West Nile,AT::Zika,CH::Aedes,CH::Chikungunya,CH::Culex,CH::Dengue,CH::Usutu,CH::West Nile,CH::Zika,IT::Aedes,IT::Chikungunya,IT::Culex,IT::Dengue,IT::Usutu,IT::West Nile,IT::Zika,ES::Aedes,ES::Chikungunya,ES::Culex,ES::Dengue,ES::Usutu,ES::West Nile,ES::Zika,FR::Aedes,FR::Chikungunya,FR::Culex,FR::Dengue,FR::Usutu,FR::West Nile,FR::Zika
2010-01-01,0.0,0.5405405405405405,0.0,10.325710325710325,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,17.176470588235293,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,39.285714285714285,0.0,0.0,0.0,0.0,16.666666666666664,0.0,2.083333333333333,0.0,0.0,0.0
2010-02-01,0.0,0.7142857142857142,0.0,18.452380952380953,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,4.166666666666666,0.0,0.0,6.666666666666666,0.0,0.0,0.0,3.125,0.0,0.0,40.625,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0
2010-03-01,0.0,0.689655172413793,0.0,26.72413793103448,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,11.57407407407407,0.0,0.0,5.5555555555555545,0.0,0.0,0.0,4.0,0.0,0.0,3.9560439560439558,3.571428571428571,0.0,0.0,2.8571428571428568,0.0,0.0,0.0,3.125,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,27.298850574712645,0.0,0.0,0.0,0.0,0.0,0.0,14.646464646464645,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.5,0.0,0.0,2.0,0.0,3.3333333333333335,0.0,2.5,0.0,0.0,35.0,0.0,0.0,0.0,0.0,6.25,0.0,1.5625,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,25.632183908045977,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.142857142857142,2.380952380952381,1.1904761904761905,1.4285714285714284,0.0,0.0,0.0,4.545454545454546,0.0,0.0,31.81818181818182,0.0,0.0,0.0,0.0,4.166666666666666,0.0,1.0416666666666665,0.0,0.0,0.0
2010-06-01,0.5208333333333334,0.0,0.0,18.75,0.0,0.78125,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.823529411764707,0.0,0.9803921568627451,2.352941176470588,0.0,0.0,0.0,5.76923076923077,0.0,0.0,57.692307692307686,0.0,0.0,0.0,1.9047619047619049,3.3333333333333335,0.0,0.8333333333333334,0.0,0.0,0.0
2010-07-01,0.8771929824561403,0.5263157894736842,0.0,13.29284750337382,0.0,0.0,0.0,6.504065040650406,4.819277108433736,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666666,0.0,0.0,0.0,6.25,0.0,0.0,2.5,0.0,0.0,0.0,6.578947368421052,0.0,0.0,18.421052631578945,0.0,0.0,0.0,2.484472049689441,2.1739130434782608,0.0,1.0869565217391304,0.0,0.0,0.0
2010-08-01,0.9523809523809524,0.0,0.0,17.6984126984127,0.0,0.0,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,2.5,0.0,0.0,12.879432624113473,0.0,0.0,0.0,7.142857142857142,0.0,0.0,4.2857142857142865,0.0,1.1904761904761905,0.0,7.894736842105263,0.0,0.0,15.789473684210526,0.0,0.0,0.0,2.0408163265306123,1.7857142857142856,0.0,5.803571428571429,0.0,0.0,0.0
2010-09-01,0.5050505050505051,0.6060606060606061,0.0,18.434343434343436,0.0,0.7575757575757576,1.3888888888888886,0.0,0.0,0.0,21.590909090909093,0.0,0.0,0.0,0.0,11.11111111111111,0.0,17.483870967741936,0.0,0.0,3.8461538461538463,6.25,2.0833333333333335,0.0,7.5,0.0,0.0,0.0,6.666666666666667,0.0,0.0,18.333333333333336,0.0,0.0,0.0,2.857142857142857,7.5,0.0,6.875,0.0,0.0,0.0
2010-10-01,0.5952380952380952,0.7142857142857142,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,20.761494252873565,0.0,0.0,6.25,0.0,0.0,0.0,10.518518518518517,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,24.999999999999996,0.0,0.0,0.0,2.857142857142857,10.0,0.0,3.75,0.0,0.0,0.0
2010-11-01,0.6172839506172839,0.7692307692307693,0.0,27.991452991452988,0.0,0.0,0.0,0.0,0.0,0.0,26.08108108108108,0.0,0.0,5.0,0.0,0.0,0.0,39.76470588235294,0.0,0.0,7.6923076923076925,3.125,0.0,0.0,45.0,0.0,0.0,0.0,3.125,0.0,0.0,121.875,0.0,0.0,0.0,0.0,8.333333333333332,0.0,8.333333333333332,0.0,0.0,0.0
2010-12-01,0.0,1.4814814814814814,0.0,13.580246913580245,0.0,0.0,1.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285714285714,0.0,0.0,0.0,0.0,12.5,0.0,3.125,0.0,0.0,0.0
