,Germany,Germany,Germany,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Spain,Spain,Spain,France,France,France
,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio
date,,,,,,,,,,,,,,,,,,
2010-02-22,31,0,0.0,2.0,0.0,0.0,,,,1.0,0.0,0.0,10,0,0.0,101,0,0.0
2010-02-23,36,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8,0,0.0,80,0,0.0
2010-02-24,34,0,0.0,,,,,,,1.0,0.0,0.0,10,0,0.0,82,0,0.0
2010-02-25,47,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6,0,0.0,95,0,0.0
2010-02-26,15,0,0.0,3.0,0.0,0.0,,,,,,,5,0,0.0,77,0,0.0
2010-02-27,13,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,6,0,0.0,66,0,0.0
2010-02-28,11,0,0.0,3.0,0.0,0.0,,,,,,,7,0,0.0,71,0,0.0
2010-03-01,39,0,0.0,6.0,0.0,0.0,,,,2.0,0.0,0.0,11,0,0.0,102,0,0.0
2010-03-02,24,0,0.0,9.0,0.0,0.0,,,,1.0,0.0,0.0,6,0,0.0,87,0,0.0
2010-03-03,25,0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,7,0,0.0,75,0,0.0
2010-03-04,15,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11,0,0.0,74,0,0.0
2010-03-05,18,0,0.0,5.0,0.0,0.0,,,,2.0,0.0,0.0,8,0,0.0,83,0,0.0
2010-03-06,9,0,0.0,2.0,0.0,0.0,,,,,,,5,0,0.0,57,0,0.0
2010-03-07,9,0,0.0,,,,,,,1.0,0.0,0.0,7,0,0.0,74,0,0.0
2010-03-08,21,0,0.0,2.0,0.0,0.0,,,,3.0,0.0,0.0,17,0,0.0,121,0,0.0
2010-03-09,22,0,0.0,5.0,0.0,0.0,,,,2.0,0.0,0.0,8,0,0.0,106,0,0.0
2010-03-10,18,0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,10,0,0.0,122,0,0.0
2010-03-11,21,0,0.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,9,0,0.0,98,0,0.0
2010-03-12,29,0,0.0,3.0,0.0,0.0,,,,7.0,0.0,0.0,4,0,0.0,103,0,0.0
2010-03-13,11,0,0.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,6,0,0.0,65,0,0.0
2010-03-14,15,0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,2,0,0.0,76,0,0.0
2010-03-15,24,0,0.0,,,,1.0,0.0,0.0,2.0,0.0,0.0,10,0,0.0,106,0,0.0
2010-03-16,27,0,0.0,1.0,0.0,0.0,,,,,,,9,0,0.0,85,0,0.0
2010-03-17,24,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,11,0,0.0,101,0,0.0
2010-03-18,18,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4,0,0.0,97,0,0.0
2010-03-19,22,0,0.0,,,,,,,,,,8,0,0.0,89,0,0.0
2010-03-20,15,0,0.0,6.0,0.0,0.0,,,,1.0,0.0,0.0,7,0,0.0,68,0,0.0
2010-03-21,14,0,0.0,,,,1.0,0.0,0.0,,,,7,0,0.0,67,0,0.0
2010-03-22,18,0,0.0,,,,2.0,0.0,0.0,1.0,0.0,0.0,13,0,0.0,108,0,0.0
2010-03-23,18,0,0.0,,,,2.0,0.0,0.0,2.0,0.0,0.0,13,0,0.0,89,1,0.011235955056179775
