"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-10","SE","Sweden",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-10","UK","United Kingdom",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","BE","Belgium",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","DK","Denmark",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","ES","Spain",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","EU27_21","EU (without UK)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","FI","Finland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","IE","Ireland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","SE","Sweden",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-11","UK","United Kingdom",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","AT","Austria",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","BE","Belgium",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","DK","Denmark",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","ES","Spain",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","EU27_21","EU (without UK)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","FI","Finland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","IE","Ireland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","NL","Netherlands",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","SE","Sweden",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2015-12","UK","United Kingdom",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","AT","Austria",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","BE","Belgium",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","CZ","Czechia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","DK","Denmark",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","EE","Estonia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","EL","Greece",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","ES","Spain",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","EU27_21","EU (without UK)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","FI","Finland",0.000000000,""
