country,qid,year,month,views,total_views,views_norm
CH,Q477918,2024,7,444,1063682946.0,0.41741761647083886
CH,Q477918,2024,8,1305,1068072391.0,1.2218272946632134
CH,Q477918,2024,9,1492,1019541571.0,1.463402810085122
CH,Q477918,2025,5,306,1026492186.0,0.29810261020340584
CH,Q477918,2025,6,487,943474520.0,0.5161771618379265
CH,Q477918,2025,7,1265,965067983.0,1.3107884856646417
CH,Q477918,2025,8,3197,993169707.0,3.2189866217899055
CH,Q477918,2025,9,520,978761012.0,0.5312839330792632
CH,Q477918,2026,5,200,949380450.0,0.21066370178572774
DE,Q11627066,2023,5,1085,1065602480.0,1.018203336013257
DE,Q11627066,2023,7,97,1096200614.0,0.0884874527172998
DE,Q11627066,2024,8,1127,1068072391.0,1.0551719242034037
DE,Q11627066,2024,9,138,1019541571.0,0.13535495160304747
DE,Q11627066,2025,7,210,965067983.0,0.21760125058464405
DE,Q11627066,2025,8,510,993169707.0,0.5135074060409295
DE,Q15794049,2023,6,119,1019080224.0,0.1167719647555441
DE,Q15794049,2024,1,131,1335740029.0,0.0980729761449711
DE,Q15794049,2025,7,2832,965067983.0,2.934508293598628
DE,Q15794049,2025,8,3311,993169707.0,3.333770630199054
DE,Q15794049,2025,9,1150,978761012.0,1.1749548520022168
DE,Q15794049,2025,10,212,1047346829.0,0.20241623321895788
DE,Q158856,2023,2,702,1008121796.0,0.6963444325729071
DE,Q158856,2023,3,299,1130556117.0,0.2644716131326721
DE,Q158856,2023,4,188,1058416300.0,0.17762387068301952
DE,Q158856,2023,5,18805,1065602480.0,17.647293763805806
DE,Q158856,2023,6,5822,1019080224.0,5.712994779888889
DE,Q158856,2023,7,4711,1096200614.0,4.29757102836288
DE,Q158856,2023,8,4995,1072558100.0,4.657090371141666
DE,Q158856,2023,9,5408,992596368.0,5.448337485756345
DE,Q158856,2023,10,2832,1104086001.0,2.565017577829066
DE,Q158856,2023,11,728,1078845169.0,0.6747956249132538
DE,Q158856,2023,12,243,1155406164.0,0.21031565138854497
DE,Q158856,2024,1,363,1335740029.0,0.27175946824904207
DE,Q158856,2024,2,697,1116155910.0,0.6244647309173859
