country, Zika virus public health alerts,Broad infectious disease risks ,Chikungunya risk in Europe,Chikungunya vaccine,Climate change and health risks,Dengue surveillance and response,Local mosquito-control activities,Mosquito nuisance and bite prevention,Oropouche virus imported cases,Tiger mosquito spread and disease risk,Travel health and disease risks,Tropical diseases reaching Europe,West Nile virus outbreaks and surveillance
Austria,7.6923076923076925,7.6923076923076925,17.94871794871795,24.786324786324787,4.273504273504273,3.418803418803419,4.273504273504273,1.7094017094017095,5.982905982905983,2.564102564102564,6.837606837606838,11.11111111111111,1.7094017094017095
France,7.374631268436578,7.964601769911504,19.469026548672566,9.734513274336283,3.5398230088495577,12.684365781710916,8.849557522123893,6.784660766961652,0.8849557522123894,17.404129793510325,1.4749262536873156,2.6548672566371683,1.1799410029498525
Germany,6.969696969696971,7.2727272727272725,13.333333333333334,3.939393939393939,2.4242424242424243,3.6363636363636362,1.2121212121212122,6.666666666666667,4.242424242424243,17.575757575757574,5.454545454545454,25.757575757575758,1.5151515151515151
Italy,4.310344827586207,10.775862068965516,35.775862068965516,1.7241379310344827,4.094827586206897,10.344827586206897,5.172413793103448,4.956896551724138,3.8793103448275863,1.5086206896551724,1.9396551724137931,1.7241379310344827,13.793103448275861
Spain,15.203426124197003,11.134903640256958,8.779443254817988,0.8565310492505354,13.9186295503212,5.995717344753747,15.845824411134904,7.28051391862955,2.355460385438972,13.49036402569593,2.141327623126338,1.9271948608137044,1.070663811563169
Switzerland,28.6231884057971,3.6231884057971016,12.681159420289855,3.985507246376811,4.3478260869565215,5.797101449275362,3.985507246376811,2.898550724637681,0.36231884057971014,22.463768115942027,3.260869565217391,6.521739130434782,1.4492753623188406
