country, Zika virus public health alerts,Aedes arbovirus risk in Europe,Broad infectious disease risks ,Climate change and health risks,Tiger mosquito spread and disease risk,Zika biomedical research advances,Zika vaccine,Zika virus public health alerts
Austria,43.611111111111114,0.5555555555555556,16.666666666666664,0.8333333333333334,1.6666666666666667,3.0555555555555554,3.3333333333333335,30.277777777777775
France,22.28739002932551,6.451612903225806,17.888563049853374,4.105571847507331,19.06158357771261,5.865102639296188,1.1730205278592376,23.16715542521994
Germany,28.57142857142857,4.31266846361186,16.442048517520217,5.3908355795148255,11.590296495956872,3.234501347708895,1.8867924528301887,28.57142857142857
Italy,25.724637681159418,9.420289855072465,19.92753623188406,3.260869565217391,5.072463768115942,4.710144927536232,5.797101449275362,26.08695652173913
Spain,12.330827067669173,3.1578947368421053,15.639097744360903,2.4060150375939853,12.030075187969924,1.6541353383458646,2.556390977443609,50.225563909774436
Switzerland,19.523809523809526,0.4761904761904762,10.952380952380953,2.857142857142857,1.1904761904761905,10.476190476190476,3.3333333333333335,51.19047619047619
