country, Zika virus public health alerts,Bearded vulture conservation and threats,Broad infectious disease risks ,Climate change and health risks,Dengue surveillance and response,Dengue vaccine ,Global dengue outbreaks and epidemics,Mosquito-borne disease surveillance,Tiger mosquito spread and disease risk,Travel health and disease risks,Vector-borne disease readiness
Austria,10.150375939849624,0.7518796992481203,12.030075187969924,22.932330827067666,6.390977443609022,5.639097744360902,17.669172932330827,4.887218045112782,12.030075187969924,2.2556390977443606,5.263157894736842
France,13.675213675213676,0.5698005698005698,4.5584045584045585,12.535612535612536,20.51282051282051,1.9943019943019942,3.9886039886039883,2.849002849002849,35.61253561253561,1.1396011396011396,2.564102564102564
Germany,14.76510067114094,0.6711409395973155,10.06711409395973,13.758389261744966,10.738255033557047,2.013422818791946,10.738255033557047,2.684563758389262,26.845637583892618,5.704697986577181,2.013422818791946
Italy,3.1609195402298855,0.8620689655172413,8.333333333333332,7.183908045977011,48.56321839080459,2.0114942528735633,5.747126436781609,8.620689655172415,10.344827586206897,0.0,5.172413793103448
Spain,7.87037037037037,31.48148148148148,6.944444444444445,13.194444444444445,8.796296296296296,0.6944444444444444,4.166666666666666,2.7777777777777777,16.666666666666664,2.314814814814815,5.092592592592593
Switzerland,14.627659574468085,0.0,5.053191489361701,16.22340425531915,7.712765957446808,6.648936170212766,13.563829787234042,2.393617021276596,15.425531914893616,15.957446808510639,2.393617021276596
