subtype,n_components,min_cluster_size,n_neighbors,n_topics,noise_pct,largest_topic_pct
Chikungunya,10,50,15,17,23.850467289719628,13.495327102803738
Dengue,10,50,10,19,23.4551924943384,12.617275962471693
Usutu,5,10,15,20,10.13215859030837,21.58590308370044
West Nile,5,50,10,17,21.62982228001734,10.01300390117035
Zika,15,50,10,9,15.703703703703704,30.22222222222222
anchor,5,50,20,13,20.44790652385589,40.50632911392405
